name,wins,losses,wlr,f_year,l_year,career_duration,dfs,aces,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,hand,birthdate,country,gender,total_matches,serve_games_won,serve_game_won%,break_points_saved%,breakpoints_permatch,ace_dominance
Steve Campbell,31,50,38.272,1994,1999,6,245.0,250.0,6266.0,3670.0,2388.0,1207.0,940.0,368.0,680.0,R,1970-10-22,USA,male,81,628.0,66.809,54.118,8.395,3.99
Mike Collins,5,6,45.455,1970,1974,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1951-05-01,GBR,male,11,0.0,,,0.0,
Albert Gaertner,1,1,50.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1939-03-09,RSA,male,2,0.0,,,0.0,
Anthony Brennan,0,3,0.0,1970,1973,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,IRL,male,3,0.0,,,0.0,
Angel Gimenez,86,101,45.989,1975,1984,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1955-10-10,ESP,male,187,0.0,,,0.0,
Ju Min Lam,0,2,0.0,1994,1994,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1975-07-16,SIN,male,2,0.0,,,0.0,
Jason Smith,0,1,0.0,1975,1975,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1975-11-22,AUS,male,1,0.0,,,0.0,
Guillermo Oropez,1,3,25.0,1970,1977,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1947-02-07,USA,male,4,0.0,,,0.0,
Tony Pospisil,1,1,50.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,CAN,male,2,0.0,,,0.0,
Jamie Harty,0,1,0.0,1982,1982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,1,0.0,,,0.0,
Arjun Perera,0,5,0.0,1982,1986,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1962-06-14,SRI,male,5,0.0,,,0.0,
Abdelhak Hameurlaine,3,10,23.077,1990,2009,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1972-03-19,ALG,male,13,0.0,,,0.0,
Hashim Bin Sidek,2,1,66.667,1988,1990,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1961-05-26,SIN,male,3,0.0,,,0.0,
Lukas Rosol,124,157,44.128,2007,2020,14,903.0,1773.0,22154.0,12923.0,9334.0,4603.0,3371.0,1210.0,1924.0,R,1985-07-24,CZE,male,281,2657.0,78.819,62.89,6.847,8.003
Michael John Misa,0,2,0.0,1997,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1974-01-31,PHI,male,2,0.0,,,0.0,
Goran Sterijovski,0,3,0.0,1999,1999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1980-11-21,MKD,male,3,0.0,,,0.0,
Bill Joiner,0,1,0.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,AUS,male,1,0.0,,,0.0,
Antonio Munoz,95,163,36.822,1968,1981,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1951-03-01,ESP,male,258,0.0,,,0.0,
Julius Tverijonas,0,4,0.0,2011,2020,10,7.0,5.0,208.0,116.0,71.0,37.0,31.0,13.0,28.0,R,1994-06-14,LTU,male,4,16.0,51.613,46.429,7.0,2.404
Unknown Fearmon,0,1,0.0,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,,male,1,0.0,,,0.0,
Nicolas Becerra,0,2,0.0,1992,1992,1,13.0,9.0,172.0,93.0,65.0,25.0,24.0,8.0,15.0,R,1969-11-06,ARG,male,2,17.0,70.833,53.333,7.5,5.233
Tan Ah Peng,0,2,0.0,1987,1987,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1961-11-20,SIN,male,2,0.0,,,0.0,
Vincenzo Santopadre,17,27,38.636,1996,2002,7,88.0,176.0,3040.0,1675.0,1162.0,655.0,463.0,157.0,290.0,L,1971-08-11,ITA,male,44,330.0,71.274,54.138,6.591,5.789
D Belesson,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Victor Pereira,0,3,0.0,1986,1990,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1963-05-22,SIN,male,3,0.0,,,0.0,
Daniele Bracciali,30,47,38.961,1995,2011,17,215.0,548.0,5976.0,3173.0,2338.0,1420.0,911.0,311.0,507.0,R,1978-01-10,ITA,male,77,715.0,78.485,61.341,6.584,9.17
Rogelio Siller,1,0,100.0,2013,2013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1995-07-11,MEX,male,1,0.0,,,0.0,
Ross Olivieri,0,1,0.0,1980,1980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,1,0.0,,,0.0,
Ruben Gonzales,7,5,58.333,2010,2016,7,17.0,22.0,280.0,169.0,112.0,55.0,41.0,16.0,28.0,R,1985-09-11,PHI,male,12,29.0,70.732,57.143,2.333,7.857
Jerome Golmard,134,129,50.951,1994,2004,11,952.0,1428.0,19276.0,11390.0,8112.0,3992.0,2986.0,980.0,1622.0,L,1973-09-09,FRA,male,263,2344.0,78.5,60.419,6.167,7.408
Thierry Van Den Daele,1,4,20.0,1986,1992,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1966-05-27,FRA,male,5,0.0,,,0.0,
B Kronruge,0,1,0.0,1978,1978,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,1,0.0,,,0.0,
Stephane Robert,38,75,33.628,2004,2020,17,486.0,439.0,9072.0,4818.0,3329.0,1978.0,1389.0,540.0,967.0,R,1980-05-17,FRA,male,113,962.0,69.258,55.843,8.558,4.839
Christian Kuhnke,33,22,60.0,1969,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1939-04-13,GER,male,55,0.0,,,0.0,
Christian Kuhnke,33,22,60.0,1969,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1939-04-14,UNK,male,55,0.0,,,0.0,
Herb Fitzgibbon,25,20,55.556,1968,1973,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1942-07-14,USA,male,45,0.0,,,0.0,
Gianni Capozza,0,1,0.0,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,ITA,male,1,0.0,,,0.0,
Michal Mertinak,10,15,40.0,2003,2008,6,33.0,33.0,1056.0,661.0,438.0,197.0,161.0,59.0,100.0,R,1979-10-11,SVK,male,25,120.0,74.534,59.0,4.0,3.125
Patrick Kypson,0,1,0.0,2017,2017,1,3.0,4.0,101.0,60.0,33.0,19.0,14.0,5.0,11.0,U,1999-10-28,USA,male,1,8.0,57.143,45.455,11.0,3.96
Rod Flores,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,MEX,male,1,0.0,,,0.0,
Dickson Ogu,0,1,0.0,1997,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1978-11-20,NGR,male,1,0.0,,,0.0,
Dimitri Poliakov,23,34,40.351,1990,1995,6,158.0,98.0,4211.0,2539.0,1608.0,775.0,624.0,303.0,514.0,R,1968-01-19,UKR,male,57,413.0,66.186,58.949,9.018,2.327
Grigor Dimitrov,329,214,60.589,2008,2021,14,1877.0,3769.0,43117.0,26821.0,19974.0,8348.0,6864.0,2043.0,3241.0,R,1991-05-16,BUL,male,543,5666.0,82.547,63.036,5.969,8.741
Alioune Toure,0,1,0.0,1987,1987,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1966-06-22,SEN,male,1,0.0,,,0.0,
Chris Burr,0,1,0.0,1974,1974,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,CAN,male,1,0.0,,,0.0,
Yu Zhang,4,14,22.222,1998,2001,4,1.0,2.0,65.0,33.0,19.0,13.0,11.0,4.0,10.0,R,1976-04-12,CHN,male,18,5.0,45.455,40.0,0.556,3.077
Jurgen Melzer,345,324,51.57,1999,2018,20,1790.0,3358.0,50025.0,30733.0,21421.0,9759.0,7749.0,2629.0,4374.0,L,1981-05-22,AUT,male,669,6004.0,77.481,60.105,6.538,6.713
Rameez Junaid,0,2,0.0,2006,2010,5,8.0,4.0,103.0,58.0,38.0,18.0,18.0,4.0,12.0,R,1981-05-25,AUS,male,2,10.0,55.556,33.333,6.0,3.883
Raul Antonio Viver,34,56,37.778,1979,1993,15,8.0,4.0,507.0,365.0,225.0,61.0,81.0,29.0,61.0,L,1961-03-17,ECU,male,90,49.0,60.494,47.541,0.678,0.789
Hendri Susilo Pramono,1,1,50.0,2000,2000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1979-07-05,INA,male,2,0.0,,,0.0,
Rupert Ferdinands,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,SRI,male,1,0.0,,,0.0,
Peter Keller,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1944-10-19,AUS,male,1,0.0,,,0.0,
Peter Keller,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,AUS,male,1,0.0,,,0.0,
Randall Verdieck,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,USA,male,1,0.0,,,0.0,
Favel Antonio Freyre Perdomo,0,3,0.0,2004,2007,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1986-02-26,CUB,male,3,0.0,,,0.0,
Herve Gauvain,3,21,12.5,1974,1980,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1955-03-04,FRA,male,24,0.0,,,0.0,
Steven Harley,0,1,0.0,1979,1979,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,NZL,male,1,0.0,,,0.0,
Gerald Melzer,18,34,34.615,2010,2018,9,141.0,200.0,3904.0,2507.0,1665.0,683.0,608.0,234.0,404.0,L,1990-07-13,AUT,male,52,438.0,72.039,57.921,7.769,5.123
Jens Woehrmann,14,21,40.0,1989,1991,3,11.0,15.0,337.0,193.0,125.0,68.0,52.0,16.0,33.0,R,1967-09-08,GER,male,35,35.0,67.308,48.485,0.943,4.451
Florin Mergea,3,4,42.857,2003,2016,14,21.0,11.0,340.0,221.0,149.0,49.0,52.0,15.0,31.0,R,1985-01-26,ROU,male,7,36.0,69.231,48.387,4.429,3.235
John Fraser,2,1,66.667,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,3,0.0,,,0.0,
Mike Bauer,51,74,40.8,1981,1995,15,8.0,1.0,78.0,41.0,25.0,13.0,12.0,8.0,14.0,R,1959-06-29,USA,male,125,6.0,50.0,57.143,0.112,1.282
Jan Michael Gambill,195,186,51.181,1995,2007,13,1263.0,3992.0,29292.0,16377.0,12488.0,6354.0,4519.0,1475.0,2328.0,R,1977-06-03,USA,male,381,3666.0,81.124,63.359,6.11,13.628
Michel Borfiga,2,0,100.0,1983,1983,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,MON,male,2,0.0,,,0.0,
John Boytim,0,4,0.0,1989,1989,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1967-12-21,USA,male,4,0.0,,,0.0,
Anthony Ensor,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,IRL,male,1,0.0,,,0.0,
